State,AcLevNum,ACTIVITY_LEVEL_LABEL,WEEKEND,WEEK
California,8,High,Mar-03-2018,9
California,6,Moderate,Mar-10-2018,10
California,6,Moderate,Mar-17-2018,11
California,5,Low,Mar-24-2018,12
California,4,Low,Mar-31-2018,13
California,4,Low,Apr-07-2018,14
California,2,Minimal,Apr-14-2018,15
California,2,Minimal,Apr-21-2018,16
California,1,Minimal,Apr-28-2018,17
California,2,Minimal,Oct-07-2017,40
California,1,Minimal,Oct-14-2017,41
California,1,Minimal,Oct-21-2017,42
California,1,Minimal,Oct-28-2017,43
California,2,Minimal,Nov-04-2017,44
California,2,Minimal,Nov-11-2017,45
California,2,Minimal,Nov-18-2017,46
California,3,Minimal,Nov-25-2017,47
California,2,Minimal,Dec-02-2017,48
California,4,Low,Dec-09-2017,49
California,7,Moderate,Dec-16-2017,50
California,10,High,Dec-23-2017,51
California,10,High,Dec-30-2017,52
Colorado,8,High,Jan-06-2018,1
Colorado,7,Moderate,Jan-13-2018,2
Colorado,7,Moderate,Jan-20-2018,3
Colorado,8,High,Jan-27-2018,4
Colorado,10,High,Feb-03-2018,5
Colorado,9,High,Feb-10-2018,6
Colorado,8,High,Feb-17-2018,7
Colorado,8,High,Feb-24-2018,8
Colorado,6,Moderate,Mar-03-2018,9
Colorado,5,Low,Mar-10-2018,10
Colorado,4,Low,Mar-17-2018,11
Colorado,3,Minimal,Mar-24-2018,12
Colorado,2,Minimal,Mar-31-2018,13
Colorado,2,Minimal,Apr-07-2018,14
Colorado,1,Minimal,Apr-14-2018,15
Colorado,1,Minimal,Apr-21-2018,16
Colorado,2,Minimal,Apr-28-2018,17
Colorado,1,Minimal,Oct-07-2017,40
Colorado,1,Minimal,Oct-14-2017,41
Colorado,1,Minimal,Oct-21-2017,42
Colorado,1,Minimal,Oct-28-2017,43
Colorado,2,Minimal,Nov-04-2017,44
Colorado,2,Minimal,Nov-11-2017,45
Colorado,2,Minimal,Nov-18-2017,46
Colorado,3,Minimal,Nov-25-2017,47
Colorado,3,Minimal,Dec-02-2017,48
Colorado,4,Low,Dec-09-2017,49
Colorado,5,Low,Dec-16-2017,50
Colorado,6,Moderate,Dec-23-2017,51
Colorado,7,Moderate,Dec-30-2017,52
Connecticut,4,Low,Jan-06-2018,1
Connecticut,5,Low,Jan-13-2018,2
Connecticut,9,High,Jan-20-2018,3
Connecticut,10,High,Jan-27-2018,4
Connecticut,10,High,Feb-03-2018,5
Connecticut,10,High,Feb-10-2018,6
Connecticut,10,High,Feb-17-2018,7
Connecticut,10,High,Feb-24-2018,8
Connecticut,9,High,Mar-03-2018,9
Connecticut,5,Low,Mar-10-2018,10
Connecticut,3,Minimal,Mar-17-2018,11
Connecticut,5,Low,Mar-24-2018,12
Connecticut,7,Moderate,Mar-31-2018,13
Connecticut,3,Minimal,Apr-07-2018,14
Connecticut,3,Minimal,Apr-14-2018,15
Connecticut,2,Minimal,Apr-21-2018,16
Connecticut,3,Minimal,Apr-28-2018,17
Connecticut,1,Minimal,Oct-07-2017,40
Connecticut,1,Minimal,Oct-14-2017,41
Connecticut,1,Minimal,Oct-21-2017,42
Connecticut,1,Minimal,Oct-28-2017,43
Connecticut,1,Minimal,Nov-04-2017,44
Connecticut,1,Minimal,Nov-11-2017,45
Connecticut,1,Minimal,Nov-18-2017,46
Connecticut,1,Minimal,Nov-25-2017,47
Connecticut,2,Minimal,Dec-02-2017,48
Connecticut,2,Minimal,Dec-09-2017,49
Connecticut,3,Minimal,Dec-16-2017,50
Connecticut,2,Minimal,Dec-23-2017,51
Connecticut,3,Minimal,Dec-30-2017,52
Delaware,1,Minimal,Jan-06-2018,1
Delaware,1,Minimal,Jan-13-2018,2
Delaware,2,Minimal,Jan-20-2018,3
Delaware,5,Low,Jan-27-2018,4
Delaware,8,High,Feb-03-2018,5
Delaware,10,High,Feb-10-2018,6
Delaware,10,High,Feb-17-2018,7
Delaware,6,Moderate,Feb-24-2018,8
Delaware,3,Minimal,Mar-03-2018,9
Delaware,1,Minimal,Mar-10-2018,10
Delaware,2,Minimal,Mar-17-2018,11
Delaware,2,Minimal,Mar-24-2018,12
Delaware,1,Minimal,Mar-31-2018,13
Delaware,1,Minimal,Apr-07-2018,14
Delaware,1,Minimal,Apr-14-2018,15
Delaware,1,Minimal,Apr-21-2018,16
Delaware,1,Minimal,Apr-28-2018,17
Delaware,1,Minimal,Oct-07-2017,40
Delaware,1,Minimal,Oct-14-2017,41
Delaware,1,Minimal,Oct-21-2017,42
Delaware,1,Minimal,Oct-28-2017,43
Delaware,1,Minimal,Nov-04-2017,44
Delaware,1,Minimal,Nov-11-2017,45
Delaware,1,Minimal,Nov-18-2017,46
Delaware,1,Minimal,Nov-25-2017,47
Delaware,1,Minimal,Dec-02-2017,48
Delaware,1,Minimal,Dec-09-2017,49
Delaware,1,Minimal,Dec-16-2017,50
Delaware,1,Minimal,Dec-23-2017,51
Delaware,1,Minimal,Dec-30-2017,52
District of Columbia,5,Low,Jan-06-2018,1
District of Columbia,5,Low,Jan-13-2018,2
District of Columbia,7,Moderate,Jan-20-2018,3
District of Columbia,10,High,Jan-27-2018,4
District of Columbia,10,High,Feb-03-2018,5
District of Columbia,10,High,Feb-10-2018,6
District of Columbia,10,High,Feb-17-2018,7
District of Columbia,8,High,Feb-24-2018,8
District of Columbia,4,Low,Mar-03-2018,9
District of Columbia,3,Minimal,Mar-10-2018,10
District of Columbia,4,Low,Mar-17-2018,11
District of Columbia,4,Low,Mar-24-2018,12
District of Columbia,2,Minimal,Mar-31-2018,13
District of Columbia,2,Minimal,Apr-07-2018,14
District of Columbia,1,Minimal,Apr-14-2018,15
District of Columbia,1,Minimal,Apr-21-2018,16
District of Columbia,1,Minimal,Apr-28-2018,17
District of Columbia,2,Minimal,Oct-07-2017,40
District of Columbia,2,Minimal,Oct-14-2017,41
District of Columbia,2,Minimal,Oct-21-2017,42
District of Columbia,2,Minimal,Oct-28-2017,43
District of Columbia,2,Minimal,Nov-04-2017,44
District of Columbia,3,Minimal,Nov-11-2017,45
District of Columbia,3,Minimal,Nov-18-2017,46
District of Columbia,3,Minimal,Nov-25-2017,47
District of Columbia,4,Low,Dec-02-2017,48
District of Columbia,4,Low,Dec-09-2017,49
District of Columbia,4,Low,Dec-16-2017,50
District of Columbia,3,Minimal,Dec-23-2017,51
District of Columbia,5,Low,Dec-30-2017,52
Florida,5,Low,Jan-06-2018,1
Florida,9,High,Jan-13-2018,2
Florida,10,High,Jan-20-2018,3
Florida,10,High,Jan-27-2018,4
Florida,10,High,Feb-03-2018,5
Florida,10,High,Feb-10-2018,6
Florida,6,Moderate,Feb-17-2018,7
Florida,4,Low,Feb-24-2018,8
Florida,2,Minimal,Mar-03-2018,9
Florida,2,Minimal,Mar-10-2018,10
Florida,2,Minimal,Mar-17-2018,11
Florida,1,Minimal,Mar-24-2018,12
Florida,1,Minimal,Mar-31-2018,13
Florida,1,Minimal,Apr-07-2018,14
Florida,1,Minimal,Apr-14-2018,15
Florida,1,Minimal,Apr-21-2018,16
Florida,1,Minimal,Apr-28-2018,17
Florida,1,Minimal,Oct-07-2017,40
Florida,1,Minimal,Oct-14-2017,41
Florida,1,Minimal,Oct-21-2017,42
Florida,1,Minimal,Oct-28-2017,43
Florida,1,Minimal,Nov-04-2017,44
Florida,2,Minimal,Nov-11-2017,45
Florida,2,Minimal,Nov-18-2017,46
Florida,1,Minimal,Nov-25-2017,47
Florida,1,Minimal,Dec-02-2017,48
Florida,1,Minimal,Dec-09-2017,49
Florida,2,Minimal,Dec-16-2017,50
Florida,4,Low,Dec-23-2017,51
Florida,5,Low,Dec-30-2017,52
Georgia,10,High,Jan-06-2018,1
Georgia,10,High,Jan-13-2018,2
Georgia,10,High,Jan-20-2018,3
Georgia,10,High,Jan-27-2018,4
Georgia,10,High,Feb-03-2018,5
Georgia,10,High,Feb-10-2018,6
Georgia,10,High,Feb-17-2018,7
Georgia,10,High,Feb-24-2018,8
Georgia,9,High,Mar-03-2018,9
Georgia,8,High,Mar-10-2018,10
Georgia,7,Moderate,Mar-17-2018,11
Georgia,5,Low,Mar-24-2018,12
Georgia,5,Low,Mar-31-2018,13
Georgia,4,Low,Apr-07-2018,14
Georgia,4,Low,Apr-14-2018,15
Georgia,3,Minimal,Apr-21-2018,16
Georgia,2,Minimal,Apr-28-2018,17
Georgia,2,Minimal,Oct-07-2017,40
Georgia,3,Minimal,Oct-14-2017,41
Georgia,3,Minimal,Oct-21-2017,42
Georgia,4,Low,Oct-28-2017,43
Georgia,4,Low,Nov-04-2017,44
Georgia,5,Low,Nov-11-2017,45
Georgia,6,Moderate,Nov-18-2017,46
Georgia,7,Moderate,Nov-25-2017,47
Georgia,6,Moderate,Dec-02-2017,48
Georgia,7,Moderate,Dec-09-2017,49
